filepath,exists,sustainability,nachhaltigkeit,entrepreneurship,unternehmertum,handlungsorientiert,sustainability_flag,entrepreneurship_flag
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/994_10.07.2023 Gebäude-, Energie- und Umwelttechnik.pdf",True,False,True,False,False,False,True,False
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1059_13.07.2023 Technische Gebäudeplanung - Smart Building Engineering, Bachelor.pdf",True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1033_12.07.2023 Netztechnik und Netzbetrieb.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1067_13.07.2023 Wirtschaftsingenieurwesen - Facility Management.pdf,True,True,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/991_10.07.2023 Gebäudeenergie- und -informationstechnik.pdf,True,False,False,False,False,False,False,False
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/964_09.07.2023 Energie-, Gebäude- und Umweltmanagement.pdf",True,True,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/960_09.07.2023 Build Sustainability_MBA_2019.pdf,True,True,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/956_09.07.2023 Bauingenieurwesen und Umweltwissenschaften.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1025_12.07.2023 Management [Bau Immobilien Infrastruktur].pdf,True,True,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/997_11.07.2023 Gebäudetechnik.pdf,True,False,True,True,False,False,True,True
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1038_ 12.07.2023 Rettungsingenieurwesen Rescue Engineering.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/992_10.07.2023 Gebäudeenergie- und -informationstechnik.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/958_09.07.2023 Betriebssicherheitsmanagement BSM.pdf,True,False,False,False,False,False,False,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/788_27.06.2023 Energieeffizientes Gebäudedesign.pdf,True,True,True,False,False,False,True,False
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1050_12.07.2023 Smart City Engineering.pdf,True,False,False,False,False,False,False,False
