filepath,status,reason,score,matched_groups,matched_group_count
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/994_10.07.2023 Gebäude-, Energie- und Umwelttechnik.pdf",scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1059_13.07.2023 Technische Gebäudeplanung - Smart Building Engineering, Bachelor.pdf",scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1033_12.07.2023 Netztechnik und Netzbetrieb.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1067_13.07.2023 Wirtschaftsingenieurwesen - Facility Management.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/991_10.07.2023 Gebäudeenergie- und -informationstechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/964_09.07.2023 Energie-, Gebäude- und Umweltmanagement.pdf",scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/960_09.07.2023 Build Sustainability_MBA_2019.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/956_09.07.2023 Bauingenieurwesen und Umweltwissenschaften.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1025_12.07.2023 Management [Bau Immobilien Infrastruktur].pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/997_11.07.2023 Gebäudetechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1038_ 12.07.2023 Rettungsingenieurwesen Rescue Engineering.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
