filepath,filename,page_count,keyword_context,is_handbook,error
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/994_10.07.2023 Gebäude-, Energie- und Umwelttechnik.pdf","994_10.07.2023 Gebäude-, Energie- und Umwelttechnik.pdf",103,"...hschule Esslingen Fakultät Gebäude-Energie-Umwelt Modulhandbuch für den Bachelor Studiengang Gebäude-, Energie- u...",True,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1033_12.07.2023 Netztechnik und Netzbetrieb.pdf,1033_12.07.2023 Netztechnik und Netzbetrieb.pdf,48,...ang Netztechnik und Netzbetrieb  (NTNB )  2018  1 Modulhandbuch   des weiterbildenden   Master - Studiengangs   N...,True,
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/964_09.07.2023 Energie-, Gebäude- und Umweltmanagement.pdf","964_09.07.2023 Energie-, Gebäude- und Umweltmanagement.pdf",39,"...Modulhandbuch  Masterstudiengang     Energie -, Gebäude -und Um...",True,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/956_09.07.2023 Bauingenieurwesen und Umweltwissenschaften.pdf,956_09.07.2023 Bauingenieurwesen und Umweltwissenschaften.pdf,226,...r München Werner-Heisenberg-Weg 39 85577Neubiberg Modulhandbuch des Studiengangs Bauingenieurwesen und  Umweltwis...,True,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1025_12.07.2023 Management [Bau Immobilien Infrastruktur].pdf,1025_12.07.2023 Management [Bau Immobilien Infrastruktur].pdf,64,...Modulhandbuch (Module guide) - MBM 2020...,True,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1050_12.07.2023 Smart City Engineering.pdf,1050_12.07.2023 Smart City Engineering.pdf,52,...– Studiengang Smart City Engineering (SCE) 2020   Modulhandbuch – Smart City Engineering (SCE) (BPO 2020) Ostfali...,True,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/802_28.06.2023 Gebäudephysik.pdf,802_28.06.2023 Gebäudephysik.pdf,40,...Master-Studiengang   Gebäudephysik    Modulhandbuch   (Stand 22. November 2022 )   Master of Engineer...,True,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1042_12.07.2023 Sicherheitsingenieurwesen.pdf,1042_12.07.2023 Sicherheitsingenieurwesen.pdf,133,...Modulhandbuch f ur den Studiengang / Module manual of the stud...,True,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1065_13.07.2023 Wirtschaftsingenieur-in Energietechnik.pdf,1065_13.07.2023 Wirtschaftsingenieur-in Energietechnik.pdf,86,...g ab WS 2019/2020                                 Modulkatalog     Bachelor studien gang  Wirtschaftsingenieur/...,True,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/978_10.07.2023 Energie- und Gebäudetechnologie.pdf,978_10.07.2023 Energie- und Gebäudetechnologie.pdf,83,"...gang   Energie - und Gebäudetechnologie           Modulhandbuch   zur SPO 20222       Für Studierende, die ab dem...",True,
