filepath,filename,page_count,keyword_context,is_handbook,error
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1059_13.07.2023 Technische Gebäudeplanung - Smart Building Engineering, Bachelor.pdf","1059_13.07.2023 Technische Gebäudeplanung - Smart Building Engineering, Bachelor.pdf",70,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1067_13.07.2023 Wirtschaftsingenieurwesen - Facility Management.pdf,1067_13.07.2023 Wirtschaftsingenieurwesen - Facility Management.pdf,73,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/991_10.07.2023 Gebäudeenergie- und -informationstechnik.pdf,991_10.07.2023 Gebäudeenergie- und -informationstechnik.pdf,29,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/960_09.07.2023 Build Sustainability_MBA_2019.pdf,960_09.07.2023 Build Sustainability_MBA_2019.pdf,24,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/997_11.07.2023 Gebäudetechnik.pdf,997_11.07.2023 Gebäudetechnik.pdf,27,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1038_ 12.07.2023 Rettungsingenieurwesen Rescue Engineering.pdf,1038_ 12.07.2023 Rettungsingenieurwesen Rescue Engineering.pdf,131,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/992_10.07.2023 Gebäudeenergie- und -informationstechnik.pdf,992_10.07.2023 Gebäudeenergie- und -informationstechnik.pdf,29,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/958_09.07.2023 Betriebssicherheitsmanagement BSM.pdf,958_09.07.2023 Betriebssicherheitsmanagement BSM.pdf,27,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/788_27.06.2023 Energieeffizientes Gebäudedesign.pdf,788_27.06.2023 Energieeffizientes Gebäudedesign.pdf,102,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1013_11.07.2023 Immobilientechnik und Immobilienwirtschaft.pdf,1013_11.07.2023 Immobilientechnik und Immobilienwirtschaft.pdf,316,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1001_11.07.2023 Gebäude- und Energietechnik.pdf,1001_11.07.2023 Gebäude- und Energietechnik.pdf,57,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1058_13.07.2023 Technische Gebäudeausrüstung und Versorgungstechnik.pdf,1058_13.07.2023 Technische Gebäudeausrüstung und Versorgungstechnik.pdf,79,,False,
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1046_12.07.2023 Sicherheitstechnik.pdf,1046_12.07.2023 Sicherheitstechnik.pdf,55,,False,
